trade_date,market_group,security_code,security_name,change_rate,trade_market_code,security_type_code,detail_link,quote_link
2026-02-12,SZ,000004,*ST国华,-5.0119,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,000004.html",https://quote.eastmoney.com/unify/r/0.000004
2026-02-12,SZ,000070,特发信息,9.9831,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,000070.html",https://quote.eastmoney.com/unify/r/0.000070
2026-02-12,SZ,000609,ST中迪,5.042,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,000609.html",https://quote.eastmoney.com/unify/r/0.000609
2026-02-12,SZ,000669,ST金鸿,5.0147,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,000669.html",https://quote.eastmoney.com/unify/r/0.000669
2026-02-12,SZ,000892,欢瑞世纪,-9.3212,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,000892.html",https://quote.eastmoney.com/unify/r/0.000892
2026-02-12,SZ,000962,东方钽业,9.991,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,000962.html",https://quote.eastmoney.com/unify/r/0.000962
2026-02-12,SZ,001270,*ST铖昌,-5.0027,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,001270.html",https://quote.eastmoney.com/unify/r/0.001270
2026-02-12,SZ,001896,豫能控股,9.9469,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,001896.html",https://quote.eastmoney.com/unify/r/0.001896
2026-02-12,SZ,002080,中材科技,9.9912,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002080.html",https://quote.eastmoney.com/unify/r/0.002080
2026-02-12,SZ,002112,三变科技,3.4884,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002112.html",https://quote.eastmoney.com/unify/r/0.002112
2026-02-12,SZ,002131,利欧股份,10.0606,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002131.html",https://quote.eastmoney.com/unify/r/0.002131
2026-02-12,SZ,002323,雅博股份,10.084,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002323.html",https://quote.eastmoney.com/unify/r/0.002323
2026-02-12,SZ,002342,巨力索具,-10.021,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002342.html",https://quote.eastmoney.com/unify/r/0.002342
2026-02-12,SZ,002378,章源钨业,9.9855,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002378.html",https://quote.eastmoney.com/unify/r/0.002378
2026-02-12,SZ,002455,百川股份,-4.9225,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002455.html",https://quote.eastmoney.com/unify/r/0.002455
2026-02-12,SZ,002702,海欣食品,-9.9567,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002702.html",https://quote.eastmoney.com/unify/r/0.002702
2026-02-12,SZ,002723,小崧股份,-9.9828,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002723.html",https://quote.eastmoney.com/unify/r/0.002723
2026-02-12,SZ,002731,ST萃华,-4.9853,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002731.html",https://quote.eastmoney.com/unify/r/0.002731
2026-02-12,SZ,002757,南兴股份,4.69,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002757.html",https://quote.eastmoney.com/unify/r/0.002757
2026-02-12,SZ,002830,名雕股份,-9.9928,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002830.html",https://quote.eastmoney.com/unify/r/0.002830
2026-02-12,SZ,002837,英维克,10,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002837.html",https://quote.eastmoney.com/unify/r/0.002837
2026-02-12,SZ,002842,翔鹭钨业,9.9971,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002842.html",https://quote.eastmoney.com/unify/r/0.002842
2026-02-12,SZ,002905,金逸影视,-9.9705,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002905.html",https://quote.eastmoney.com/unify/r/0.002905
2026-02-12,SZ,002931,锋龙股份,-10,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002931.html",https://quote.eastmoney.com/unify/r/0.002931
2026-02-12,SZ,002951,金时科技,10,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-12,002951.html",https://quote.eastmoney.com/unify/r/0.002951
